"Date","Main Pollutant","Site Name","Site ID","Ozone AQI Value"
"02/17/2014","","Concord","06-013-0002","29"
"02/18/2014","","San Rafael","06-041-0001","28"
"02/19/2014","","Bethel Island","06-013-1002","31"
"02/20/2014","","Livermore - Rincon","06-001-0007","30"
"02/21/2014","","Concord","06-013-0002","30"
"02/22/2014","","Concord","06-013-0002","31"
"02/23/2014","","Bethel Island","06-013-1002","31"
"02/24/2014","","Bethel Island","06-013-1002","36"
"02/25/2014","","San Rafael","06-041-0001","39"
"02/26/2014","","San Rafael","06-041-0001","35"
"02/27/2014","","Oakland West","06-001-0011","35"
"02/28/2014","","Concord","06-013-0002","37"
"03/01/2014","","Concord","06-013-0002","34"
"03/02/2014","","Livermore - Rincon","06-001-0007","32"
"03/03/2014","","Oakland West","06-001-0011","25"
"03/04/2014","","Concord","06-013-0002","25"
"03/05/2014","","Livermore - Rincon","06-001-0007","25"
"03/06/2014","","Concord","06-013-0002","32"
"03/07/2014","","Livermore - Rincon","06-001-0007","31"
"03/08/2014","","Bethel Island","06-013-1002","31"
"03/09/2014","","Livermore - Rincon","06-001-0007","32"
"03/10/2014","","Bethel Island","06-013-1002","36"
"03/11/2014","","San Rafael","06-041-0001","36"
"03/12/2014","","San Rafael","06-041-0001","36"
"03/13/2014","","Concord","06-013-0002","35"
"03/14/2014","","Concord","06-013-0002","33"
"03/15/2014","","Concord","06-013-0002","38"
"03/16/2014","","Bethel Island","06-013-1002","38"
"03/17/2014","","Concord","06-013-0002","37"
"03/18/2014","","Concord","06-013-0002","36"
"03/19/2014","","Livermore - Rincon","06-001-0007","40"
"03/20/2014","","Bethel Island","06-013-1002","42"
"03/21/2014","","Bethel Island","06-013-1002","36"
"03/22/2014","","Livermore - Rincon","06-001-0007","38"
"03/23/2014","","Livermore - Rincon","06-001-0007","41"
"03/24/2014","","Concord","06-013-0002","41"
"03/25/2014","","Concord","06-013-0002","33"
"03/26/2014","","Concord","06-013-0002","35"
"03/27/2014","","Livermore - Rincon","06-001-0007","38"
"03/28/2014","","Bethel Island","06-013-1002","31"
"03/29/2014","","Oakland West","06-001-0011","32"
"03/30/2014","","Oakland West","06-001-0011","35"
"03/31/2014","","Livermore - Rincon","06-001-0007","37"
"04/01/2014","","Hayward - La Mesa","06-001-2001","38"
"04/02/2014","","San Ramon","06-013-2007","41"
"04/03/2014","","San Ramon","06-013-2007","40"
"04/04/2014","","Livermore - Rincon","06-001-0007","37"
"04/05/2014","","Concord","06-013-0002","35"
"04/06/2014","","Redwood City","06-081-1001","33"
"04/07/2014","","Redwood City","06-081-1001","41"
"04/08/2014","","Concord","06-013-0002","58"
"04/09/2014","","Livermore - Rincon","06-001-0007","34"
"04/10/2014","","Concord","06-013-0002","42"
"04/11/2014","","Oakland West","06-001-0011","34"
"04/12/2014","","Hayward - La Mesa","06-001-2001","38"
"04/13/2014","","Hayward - La Mesa","06-001-2001","42"
"04/14/2014","","Bethel Island","06-013-1002","42"
"04/15/2014","","Bethel Island","06-013-1002","39"
"04/16/2014","","Bethel Island","06-013-1002","42"
"04/17/2014","","Bethel Island","06-013-1002","37"
"04/18/2014","","Bethel Island","06-013-1002","39"
"04/19/2014","","Bethel Island","06-013-1002","43"
"04/20/2014","","Livermore - Rincon","06-001-0007","45"
"04/21/2014","","San Rafael","06-041-0001","42"
"04/22/2014","","Redwood City","06-081-1001","42"
"04/23/2014","","Concord","06-013-0002","40"
"04/24/2014","","Livermore - Rincon","06-001-0007","37"
"04/25/2014","","Redwood City","06-081-1001","39"
"04/26/2014","","Hayward - La Mesa","06-001-2001","38"
"04/27/2014","","Livermore - Rincon","06-001-0007","39"
